debug3MsO4:debugMC0a6,initialized,0,,1655322478371
debug3MsO4:debugMC0a6,window_resize,0,"[1024, 767]",1655322478371
debuga5Y6j:debugCFAJr,initialized,0,,1655322593480
debuga5Y6j:debugCFAJr,window_resize,0,"[1024, 767]",1655322593480
debugIQLHh:debugaePdJ,initialized,0,,1655322701627
debugIQLHh:debugaePdJ,window_resize,0,"[1024, 767]",1655322701627
debugIQLHh:debugaePdJ,focus,3295,off,1655322704922
debugIQLHh:debugaePdJ,focus,132545,on,1655322837467
debugIQLHh:debugaePdJ,focus,159353,off,1655322996820
debugIQLHh:debugaePdJ,focus,3793,on,1655323000613
debugZZhbp:debug5bOXo,initialized,0,,1655323019486
debugZZhbp:debug5bOXo,window_resize,0,"[1920, 976]",1655323019486
debugZZhbp:debug5bOXo,focus,2686,off,1655323022172
debugZZhbp:debug5bOXo,window_resize,367,"[1257, 976]",1655323022539
debugZZhbp:debug5bOXo,focus,2466,on,1655323025005
debugnHdkN:debugYMLHe,initialized,0,,1655323055171
debugnHdkN:debugYMLHe,window_resize,0,"[1920, 976]",1655323055171
debugnHdkN:debugYMLHe,focus,3835,off,1655323059006
debugnHdkN:debugYMLHe,window_resize,364,"[1257, 976]",1655323059370
debugnHdkN:debugYMLHe,focus,6055,on,1655323065425
debugWPI89:debugVWo1B,initialized,0,,1655323115282
debugWPI89:debugVWo1B,window_resize,0,"[1024, 767]",1655323115282
debugWPI89:debugVWo1B,focus,2239,off,1655323117521
debugWPI89:debugVWo1B,focus,4442,on,1655323121963
